GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audit-log-service,com.example.auditlog.exception,GlobalExceptionHandler,2,89,2,2,0,17,2,8,0,8
audit-log-service,com.example.auditlog.config,ProdSecurityConfig,43,136,5,3,8,21,4,10,1,9
audit-log-service,com.example.auditlog.config,MethodSecurityConfig,0,3,0,0,0,1,0,1,0,1
audit-log-service,com.example.auditlog.config,RateLimitFilter,8,89,6,8,2,21,5,6,0,4
audit-log-service,com.example.auditlog.config,DevSecurityConfig,0,154,0,0,0,25,0,8,0,8
audit-log-service,com.example.auditlog.config,AudienceValidator,0,31,1,3,0,7,1,3,0,2
audit-log-service,com.example.auditlog,AuditLogApplication,5,3,0,0,2,1,1,1,1,1
audit-log-service,com.example.auditlog.repository,AuditRecordSpecification,3,98,4,16,1,15,5,8,1,2
audit-log-service,com.example.auditlog.entity,AuditRecordStatus,0,21,0,0,0,4,0,1,0,1
audit-log-service,com.example.auditlog.enums,ChainViolationType,0,63,0,0,0,11,0,1,0,1
audit-log-service,com.example.auditlog.controller,ExportController,2,34,1,1,0,12,1,2,0,2
audit-log-service,com.example.auditlog.controller,RedactionController,0,9,0,0,0,2,0,1,0,1
audit-log-service,com.example.auditlog.controller,AuditController,0,25,0,0,0,4,0,2,0,2
audit-log-service,com.example.auditlog.controller,RetentionController,0,8,0,0,0,2,0,1,0,1
audit-log-service,com.example.auditlog.controller,VerificationController,0,5,0,0,0,1,0,1,0,1
audit-log-service,com.example.auditlog.service,ExportSignatureService,36,512,12,34,9,95,12,18,0,7
audit-log-service,com.example.auditlog.service,HashService,22,241,2,12,6,46,2,12,0,7
audit-log-service,com.example.auditlog.service,RedactionService,24,206,11,23,6,42,9,10,0,2
audit-log-service,com.example.auditlog.service,AuditService,10,218,5,17,2,54,5,10,0,4
audit-log-service,com.example.auditlog.service,RetentionService,5,14,1,1,1,6,1,1,0,1
audit-log-service,com.example.auditlog.service,ExportService,34,197,3,27,15,50,4,15,1,3
audit-log-service,com.example.auditlog.service,ChainVerificationService,31,239,6,30,4,60,6,15,0,3
